NIBRS Code Name,Report Date,Location,Victim Count,Crime Against,Was a firearm involved?,Longitude,Latitude,Severity Score
Motor Vehicle Theft,10/10/2023 5:31:26 AM,230 BILL KENNEDY WAY SE,1.0,PROPERTY,N,-84.358111,33.744561,0.2331
Aggravated Assault,10/10/2023 5:36:26 AM,884 SIMS ST SW,3.0,PERSON,Y,-84.402968,33.730767,0.5994
Aggravated Assault,10/10/2023 6:09:30 AM,2164 CAMPBELLTON RD SW,1.0,PERSON,Y,-84.458827,33.705614,0.5994
Aggravated Assault,10/10/2023 7:06:13 AM,1005 BALDWIN ST SW,1.0,PERSON,N,-84.420629,33.746502,0.2664
Theft From Motor Vehicle,10/10/2023 7:09:45 AM,889 RALPH D ABERNATHY BLVD SW,1.0,PROPERTY,N,-84.416788,33.738444,0.0999
Simple Assault,10/10/2023 7:39:09 AM,1058 OGLETHORPE AVE SW,1.0,PERSON,N,-84.422314,33.735383,0.1332
Aggravated Assault,10/10/2023 8:13:22 AM,50 MOUNT ZION RD SW,1.0,PERSON,N,-84.389948,33.669825,0.2664
Simple Assault,10/10/2023 8:15:19 AM,177 MOURY AVE SW,1.0,PERSON,N,-84.390301,33.713509,0.1332
Shoplifting,10/10/2023 8:15:25 AM,350 MORELAND AVE NE,0.0,PROPERTY,N,-84.349701,33.763773,0.1332
Aggravated Assault,10/10/2023 8:24:00 AM,2612 STEELE AVE SW,1.0,PERSON,N,-84.396057,33.68193,0.2664
Simple Assault,10/10/2023 8:48:24 AM,1091 REBEL FOREST DR SE,2.0,PERSON,N,-84.356391,33.686129,0.1332
Aggravated Assault,10/10/2023 10:00:50 AM,343 JOSEPH E LOWERY BLVD SW,1.0,PERSON,Y,-84.417823,33.745697,0.5994
Burglary/Breaking & Entering,10/10/2023 10:16:44 AM,711 INDIGO LN NW,1.0,PROPERTY,N,-84.480713,33.773802,0.1998
Destruction/Damage/Vandalism of Property,10/10/2023 10:32:30 AM,1720 JASMINE CIR NW,1.0,PROPERTY,N,-84.44792,33.79271,0.1665
Simple Assault,10/10/2023 10:44:36 AM,1205 METROPOLITAN AVE SE,1.0,PERSON,N,-84.348045,33.741468,0.1332
False Pretenses/Swindle/Confidence Game,10/10/2023 11:22:09 AM,226 PEACHTREE ST SW,1.0,PROPERTY,N,-84.394417,33.748137,0.1998
False Pretenses/Swindle/Confidence Game,10/10/2023 11:42:08 AM,1989 CHESHIRE BRIDGE RD NE,0.0,PROPERTY,N,-84.357982,33.810533,0.1998
Simple Assault,10/10/2023 11:43:57 AM,687 S EVELYN PL NW,1.0,PERSON,N,-84.445441,33.773786,0.1332
Theft From Motor Vehicle,10/10/2023 11:48:06 AM,1710 WILMA DR NW,1.0,PROPERTY,N,-84.447572,33.79182,0.0999
All Other Larceny,10/10/2023 12:17:14 PM,1870 MYRTLE DR SW,1.0,PROPERTY,N,-84.454856,33.704759,0.1665
False Pretenses/Swindle/Confidence Game,10/10/2023 12:22:12 PM,41 IRBY AVE NW,1.0,PROPERTY,N,-84.380256,33.841553,0.1998
Drug/Narcotic Violations,10/10/2023 12:24:04 PM,8700 SPINE RD,0.0,SOCIETY,N,-84.439199,33.640881,0.1665
Motor Vehicle Theft,10/10/2023 12:37:22 PM,951 AMBIENT WAY SW,1.0,PROPERTY,N,-84.502272,33.747226,0.2331
Destruction/Damage/Vandalism of Property,10/10/2023 12:37:22 PM,951 AMBIENT WAY SW,1.0,PROPERTY,N,-84.502272,33.747226,0.1665
Motor Vehicle Theft,10/10/2023 12:37:36 PM,1073 HOLLYWOOD RD NW,1.0,PROPERTY,N,-84.460297,33.784281,0.2331
Destruction/Damage/Vandalism of Property,10/10/2023 12:37:36 PM,1073 HOLLYWOOD RD NW,1.0,PROPERTY,N,-84.460297,33.784281,0.1665
False Pretenses/Swindle/Confidence Game,10/10/2023 12:48:55 PM,2900 PEACHTREE RD NW,1.0,PROPERTY,N,-84.383802,33.835102,0.1998
Theft From Motor Vehicle,10/10/2023 12:49:20 PM,123 MARIETTA ST NW,2.0,PROPERTY,N,-84.392722,33.757421,0.0999
False Pretenses/Swindle/Confidence Game,10/10/2023 12:51:42 PM,4340 GLOBAL GATEWAY CONN,0.0,PROPERTY,N,-84.466298,33.638308,0.1998
Impersonation,10/10/2023 1:02:16 PM,1845 PIEDMONT AVE NE,1.0,PROPERTY,N,-84.366262,33.806222,0.1332
Theft From Motor Vehicle,10/10/2023 1:06:30 PM,1989 CHESHIRE BRIDGE RD NE,1.0,PROPERTY,N,-84.357967,33.810533,0.0999
Motor Vehicle Theft,10/10/2023 1:12:33 PM,1073 HOLLYWOOD RD NW,1.0,PROPERTY,N,-84.460297,33.784281,0.2331
Credit Card/Automated Teller Machine Fraud,10/10/2023 1:41:02 PM,925 CANTERBURY RD NE,1.0,PROPERTY,N,-84.358043,33.825072,0.1665
False Pretenses/Swindle/Confidence Game,10/10/2023 1:44:05 PM,4340 GLOBAL GATEWAY CONN,0.0,PROPERTY,N,-84.466298,33.638308,0.1998
All Other Larceny,10/10/2023 1:45:34 PM,609 VIRGINIA AVE NE,1.0,PROPERTY,N,-84.365836,33.781297,0.1665
