OBJECTID,Report Number,Report Date,Offense Start Date,Offense End Date,Day of the week,Day Number,Zone,Beat,Location,Location Type,NIBRS Code,NIBRS Code Name,Crime Against,Was a firearm involved?,Press Release,Social Media,Watch,Longitude,Latitude,Neighborhood,NPU,Council District,UCR Grouping,Victim Count,GlobalID,x,y
351446,232821085,10/10/2023 4:21:14 AM,10/9/2023 6:37:00 PM,10/9/2023 8:00:00 PM,Monday,2,2,210,3393 PEACHTREE RD NE,Shopping Mall,13B,Simple Assault,PERSON,N,,,Evening Watch,-84.362119,33.84676,Lenox,B,7,Part II,1,f9be48de-672a-4167-ad32-34ef3657321c,-84.362119,33.8467600000001
351447,232821681,10/10/2023 4:27:35 AM,10/10/2023 2:58:00 AM,10/10/2023 4:27:00 AM,Monday,2,4,409,1558 BOULEVARD LORRAINE SW,Residence/ Home / Apartment / Condo,13B,Simple Assault,PERSON,N,,,Evening Watch,-84.459516,33.713244,Adams Park,R,11,Part II,1,e7777d96-f0bc-49a2-853f-8a7dc0b5b170,-84.459516,33.713244
351448,232821697,10/10/2023 4:39:18 AM,10/8/2023 8:30:00 PM,10/8/2023 9:00:00 PM,Sunday,1,5,503,10TH ST NW / W PEACHTREE ST NW,Parking/ Drop Lot/ Garage,240,Motor Vehicle Theft,PROPERTY,N,,,Evening Watch,-84.387804,33.781525,Midtown,E,2,Part I,1,25b6eb69-d064-4873-983e-efcc23af14bb,-84.387804,33.781525
351461,232821704,10/10/2023 5:31:26 AM,10/10/2023 3:23:00 AM,10/10/2023 8:00:00 AM,Monday,2,6,606,230 BILL KENNEDY WAY SE,Residence/ Home / Apartment / Condo,240,Motor Vehicle Theft,PROPERTY,N,,,Morning Watch,-84.358111,33.744561,Reynoldstown,N,5,Part I,1,7b32616e-dffe-47d7-9b3b-c0cf8f088dbe,-84.358111,33.744561
351450,232821716,10/10/2023 5:36:26 AM,10/10/2023 3:35:00 AM,10/10/2023 5:40:00 AM,Monday,2,3,302,884 SIMS ST SW,Residence/ Home / Apartment / Condo,13A,Aggravated Assault,PERSON,Y,,,Morning Watch,-84.402968,33.730767,Pittsburgh,V,12,Part I,3,56cf9798-16aa-4eff-8ace-f5b8156f417f,-84.402968,33.7307670000001
351455,232821624,10/10/2023 6:09:30 AM,10/8/2023 2:30:00 PM,10/10/2023 10:28:00 AM,Sunday,1,4,410,2164 CAMPBELLTON RD SW,Bar/ Nightclub,13A,Aggravated Assault,PERSON,Y,,,Day Watch,-84.458827,33.705614,Campbellton Road,R,11,Part I,1,adc98a32-8e83-496f-ab61-8378e49519d5,-84.458827,33.705614
351456,232821648,10/10/2023 7:06:13 AM,10/10/2023 12:00:00 AM,10/10/2023 6:50:00 AM,Monday,2,1,104,1005 BALDWIN ST SW,Residence/ Home / Apartment / Condo,13A,Aggravated Assault,PERSON,N,,,Evening Watch,-84.420629,33.746502,Ashview Heights,T,4,Part I,1,cf4cd316-7a90-452b-af20-529b72cc57f9,-84.420629,33.7465020000001
351452,232830130,10/10/2023 7:09:45 AM,10/10/2023 5:28:00 AM,10/10/2023 7:09:00 AM,Tuesday,3,4,401,889 RALPH D ABERNATHY BLVD SW,Parking/ Drop Lot/ Garage,23F,Theft From Motor Vehicle,PROPERTY,N,,,Morning Watch,-84.416788,33.738444,West End,T,4,Part I,1,2bbd86a7-cbef-4a5e-827e-14c53ba09482,-84.4167879999999,33.7384440000001
351453,232830169,10/10/2023 7:39:09 AM,10/10/2023 5:58:00 AM,10/10/2023 7:39:00 AM,Tuesday,3,4,401,1058 OGLETHORPE AVE SW,Residence/ Home / Apartment / Condo,13B,Simple Assault,PERSON,N,,,Morning Watch,-84.422314,33.735383,West End,T,4,Part II,1,dfe3a2ec-c3e9-49ef-b36b-4fa6e0449b52,-84.422314,33.7353830000001
351462,232830230,10/10/2023 8:13:22 AM,10/10/2023 6:57:00 AM,10/10/2023 7:10:00 AM,Tuesday,3,3,312,50 MOUNT ZION RD SW,Residence/ Home / Apartment / Condo,13A,Aggravated Assault,PERSON,N,,,Morning Watch,-84.389948,33.669825,Glenrose Heights,Z,12,Part I,1,45d4e661-c004-481e-8e90-852166805a1b,-84.3899479999999,33.6698250000001
