OBJECTID,Report Number,Report Date,Offense Start Date,Offense End Date,Day of the week,Day Number,Zone,Beat,Location,Location Type,NIBRS Code,NIBRS Code Name,Crime Against,Was a firearm involved?,Press Release,Social Media,Watch,Longitude,Latitude,Neighborhood,NPU,Council District,UCR Grouping,Victim Count,GlobalID,x,y
351962,232861851,10/14/2023 4:21:20 AM,10/14/2023 1:48:00 AM,10/14/2023 4:21:00 AM,Friday,6,6,606,1079 SEABOARD AVE NE,Residence/ Home / Apartment / Condo,220,Burglary/Breaking & Entering,PROPERTY,N,,,Evening Watch,-84.351528,33.757248,Reynoldstown,N,5,Part I,1,aed83090-6848-4ad2-98bd-f0e503956b1b,-84.351528,33.7572480000001
351960,232862029,10/14/2023 4:37:31 AM,10/14/2023 3:41:00 AM,10/14/2023 4:30:00 AM,Friday,6,2,206,79 W PACES FERRY RD NW,Parking/ Drop Lot/ Garage,23F,Theft From Motor Vehicle,PROPERTY,N,,,Morning Watch,-84.382242,33.840553,South Tuxedo Park,B,8,Part I,2,221abf49-92aa-4f96-bc9f-8a6ec7c588f9,-84.382242,33.8405530000001
351961,232870003,10/14/2023 5:06:02 AM,10/14/2023 4:01:00 AM,10/14/2023 4:35:00 AM,Saturday,7,3,305,1570 LAKEWOOD AVE SE,Highway/ Road/ Alley/ Street/ Sidewalk,35A,Drug/Narcotic Violations,SOCIETY,N,,,Morning Watch,-84.380131,33.711596,Lakewood Heights,Y,1,Part II,,0bbe3f54-ff3c-4265-b360-23d47401a1e8,-84.3801309999999,33.711596
351965,232861905,10/14/2023 5:27:38 AM,10/14/2023 2:00:00 AM,10/14/2023 3:15:00 AM,Friday,6,3,306,1039 REGENT ST SW,Residence/ Home / Apartment / Condo,13A,Aggravated Assault,PERSON,Y,,,Evening Watch,-84.4226,33.700825,Sylvan Hills,X,12,Part I,1,fc4b99a9-7ec0-4752-a659-4e0a64f24cf3,-84.4226,33.7008250000001
351963,232862036,10/14/2023 5:28:11 AM,10/14/2023 3:40:00 AM,10/14/2023 4:00:00 AM,Friday,6,5,501,1011 NORTHSIDE DR NW,Residence/ Home / Apartment / Condo,13B,Simple Assault,PERSON,N,,,Morning Watch,-84.407108,33.783239,Home Park,E,3,Part II,1,d1650e8a-3cd7-4411-9ada-e4982e74b5db,-84.4071079999999,33.783239
351968,232870105,10/14/2023 5:30:09 AM,10/14/2023 4:40:00 AM,10/14/2023 4:54:00 AM,Saturday,7,1,105,34 JOSEPH E LOWERY BLVD NW,Commercial/ Office Building,11A,Rape,PERSON,N,,,Morning Watch,-84.41781,33.75571,Washington Park,K,3,Part II,1,dc051749-634d-4f6c-a084-33c2d9b1bc93,-84.41781,33.7557100000001
351987,232870105,10/14/2023 5:30:09 AM,10/14/2023 3:20:00 AM,10/14/2023 4:54:00 AM,Friday,6,1,105,34 JOSEPH E LOWERY BLVD NW,Commercial/ Office Building,13A,Aggravated Assault,PERSON,N,,,Morning Watch,-84.41781,33.75571,Washington Park,K,3,Part I,1,eaa2446b-3ec2-465c-8b06-49bddfe02b91,-84.41781,33.7557100000001
351964,232870117,10/14/2023 5:45:45 AM,10/14/2023 2:00:00 AM,10/14/2023 5:45:00 AM,Friday,6,2,207,298 DEERING RD NW,Residence/ Home / Apartment / Condo,220,Burglary/Breaking & Entering,PROPERTY,N,,,Evening Watch,-84.397626,33.796039,Loring Heights,E,8,Part I,1,acde902f-e894-4c54-a908-e36d55e0c28c,-84.3976259999999,33.7960390000001
351969,232860332,10/14/2023 6:01:09 AM,10/13/2023 6:00:00 AM,10/13/2023 8:28:00 AM,Friday,6,2,204,2167 BOLTON DR NW,Residence/ Home / Apartment / Condo,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Morning Watch,-84.44103,33.815771,Bolton,D,9,Part II,1,52cb382c-2092-4cfe-9a74-405a072366eb,-84.44103,33.815771
351966,232870204,10/14/2023 6:11:43 AM,10/9/2023 11:00:00 AM,10/14/2023 5:30:00 AM,Monday,2,1,104,1105 FOUNTAIN DR SW,Residence/ Home / Apartment / Condo,240,Motor Vehicle Theft,PROPERTY,N,,,Day Watch,-84.423816,33.751794,Ashview Heights,T,4,Part I,1,28d07b17-cb1b-4080-a79d-f4a901bada8b,-84.423816,33.7517940000001
351967,232870191,10/14/2023 6:14:51 AM,10/13/2023 11:45:00 AM,10/14/2023 5:45:00 AM,Friday,6,6,604,TANNER ST SE / WILLIAM H BORDERS DR SE,Highway/ Road/ Alley/ Street/ Sidewalk,23F,Theft From Motor Vehicle,PROPERTY,N,,,Day Watch,-84.375535,33.753642,Sweet Auburn,M,5,Part I,1,c87fe5c2-99ef-4133-be7a-21e0d0a0cd45,-84.375535,33.7536420000001
